WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-4-Old-FS\Day 1 - 11222.W02 - 1]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1761597
Total number of data points: 146768
Test date: 11/12/2017
Test time: 17:15:37
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
14.07,  0.46,  43.9060,  
11.41,  0.39,  44.0470,  
8.63,  0.33,  44.2190,  
5.84,  0.26,  44.3590,  
3.06,  0.20,  44.5160,  
0.99,  0.16,  44.6560,  
1.73,  0.17,  44.8120,  
4.48,  0.23,  44.9530,  
7.24,  0.29,  45.1090,  
9.30,  0.34,  45.2500,  
12.06,  0.41,  45.4060,  
14.83,  0.47,  45.5470,  
16.94,  0.52,  45.7190,  
14.14,  0.46,  45.8590,  
12.08,  0.41,  46.0160,  
9.31,  0.34,  46.1560,  
6.55,  0.28,  46.3120,  
4.44,  0.23,  46.4530,  
1.66,  0.17,  46.6090,  
1.05,  0.16,  46.7500,  
3.78,  0.21,  46.9220,  
6.53,  0.27,  47.0620,  
9.30,  0.34,  47.2340,  
12.05,  0.41,  47.3750,  
14.82,  0.47,  47.5470,  
16.89,  0.52,  47.6870,  
14.77,  0.47,  47.8440,  
12.11,  0.41,  47.9840,  
9.34,  0.34,  48.1410,  
7.22,  0.30,  48.2810,  
4.47,  0.23,  48.4370,  
1.65,  0.17,  48.5780,  
1.04,  0.16,  48.7340,  
3.07,  0.20,  48.8750,  
5.83,  0.26,  49.0470,  
8.60,  0.32,  49.1870,  
11.36,  0.39,  49.3590,  
14.14,  0.45,  49.5000,  
16.89,  0.52,  49.6560,  
15.47,  0.49,  49.7970,  
12.78,  0.42,  49.9530,  
10.00,  0.36,  50.0940,  
7.24,  0.30,  50.2500,  
5.09,  0.25,  50.3910,  
2.35,  0.19,  50.5620,  
0.33,  0.14,  50.7030,  
3.06,  0.20,  50.8590,  
5.82,  0.26,  51.0000,  
8.59,  0.32,  51.1720,  
10.67,  0.37,  51.3120,  
14.14,  0.46,  51.4840,  
16.22,  0.50,  51.6250,  
15.48,  0.49,  51.7810,  
12.77,  0.43,  51.9220,  
10.69,  0.38,  52.0780,  
7.94,  0.31,  52.2190,  
5.14,  0.25,  52.3750,  
2.34,  0.19,  52.5160,  
0.33,  0.14,  52.6870,  
2.41,  0.19,  52.8280,  
5.15,  0.24,  52.9840,  
7.89,  0.31,  53.1250,  
10.67,  0.37,  53.2810,  
12.75,  0.42,  53.4220,  
15.53,  0.49,  53.5940,  
16.20,  0.50,  53.7340,  
13.42,  0.44,  53.8910,  
10.70,  0.38,  54.0310,  
8.62,  0.33,  54.1870,  
5.83,  0.26,  54.3280,  
3.07,  0.20,  54.4840,  
0.29,  0.14,  54.6250,  
2.42,  0.19,  54.7970,  
4.48,  0.23,  54.9370,  
7.93,  0.31,  55.1090,  
10.00,  0.36,  55.2500,  
12.76,  0.42,  55.4220,  
15.53,  0.49,  55.5620,  
16.22,  0.51,  55.7190,  
14.10,  0.44,  55.8590,  
11.39,  0.39,  56.0160,  
8.61,  0.33,  56.1560,  
5.82,  0.26,  56.3120,  
3.76,  0.22,  56.4530,  
0.97,  0.16,  56.6090,  
1.76,  0.17,  56.7500,  
4.47,  0.23,  56.9060,  
6.50,  0.28,  57.0470,  
9.27,  0.34,  57.2190,  
12.05,  0.41,  57.3590,  
14.83,  0.47,  57.5160,  
16.94,  0.52,  57.6560,  
14.73,  0.47,  57.8120,  
12.11,  0.41,  57.9530,  
9.29,  0.34,  58.1090,  
7.25,  0.30,  58.2500,  
4.43,  0.23,  58.4060,  
1.67,  0.17,  58.5470,  
1.05,  0.16,  58.7190,  
3.75,  0.21,  58.8590,  
6.52,  0.28,  59.0160,  
8.59,  0.32,  59.1560,  
11.37,  0.39,  59.3280,  
14.14,  0.46,  59.4690,  
16.91,  0.52,  59.6410,  
14.72,  0.47,  59.7810,  
12.11,  0.41,  59.9370,  
10.01,  0.36,  60.0780,  
7.23,  0.30,  60.2340,  
4.45,  0.23,  60.3750,  
1.69,  0.17,  60.5310,  
0.33,  0.14,  60.6720,  
3.06,  0.20,  60.8280,  
5.82,  0.26,  60.9690,  
8.59,  0.32,  61.1410,  
11.38,  0.39,  61.2810,  
13.44,  0.44,  61.4370,  
16.21,  0.50,  61.5780,  
15.48,  0.49,  61.7340,  
13.43,  0.44,  61.8750,  
10.70,  0.38,  62.0310,  
7.94,  0.31,  62.1720,  
5.09,  0.25,  62.3440,  
2.38,  0.19,  62.4840,  
0.32,  0.14,  62.6410,  
2.38,  0.19,  62.7810,  
5.13,  0.25,  62.9370,  
7.89,  0.31,  63.0780,  
9.97,  0.36,  63.2340,  
12.74,  0.42,  63.3750,  
15.52,  0.49,  63.5470,  
16.18,  0.51,  63.6870,  
13.46,  0.44,  63.8590,  
10.71,  0.38,  64.0000,  
7.90,  0.31,  64.1560,  
5.84,  0.27,  64.2970,  
3.04,  0.20,  64.4530,  
0.31,  0.14,  64.5940,  
2.44,  0.19,  64.7660,  
5.17,  0.25,  64.9060,  
7.22,  0.29,  65.0620,  
9.98,  0.36,  65.2030,  
12.74,  0.42,  65.3590,  
14.84,  0.47,  65.5000,  
16.93,  0.52,  65.6560,  
14.06,  0.46,  65.7970,  
11.41,  0.39,  65.9690,  
8.63,  0.33,  66.1090,  
6.54,  0.28,  66.2660,  
3.73,  0.22,  66.4060,  
0.95,  0.16,  66.5620,  
1.75,  0.17,  66.7030,  
4.45,  0.23,  66.8750,  
6.50,  0.28,  67.0160,  
9.98,  0.36,  67.1870,  
12.05,  0.41,  67.3280,  
14.83,  0.47,  67.4840,  
16.93,  0.52,  67.6250,  
14.07,  0.46,  67.7810,  
12.13,  0.41,  67.9220,  
9.33,  0.34,  68.0780,  
6.52,  0.28,  68.2190,  
4.47,  0.23,  68.3750,  
1.65,  0.17,  68.5160,  
1.04,  0.16,  68.6870,  
3.74,  0.21,  68.8280,  
6.50,  0.28,  68.9840,  
8.59,  0.32,  69.1250,  
11.36,  0.39,  69.2810,  
14.12,  0.45,  69.4220,  
16.89,  0.52,  69.5940,  
14.74,  0.47,  69.7340,  
12.81,  0.43,  69.8910,  
10.00,  0.36,  70.0310,  
7.24,  0.30,  70.1870,  
4.44,  0.23,  70.3280,  
2.38,  0.19,  70.4840,  
0.32,  0.14,  70.6250,  
3.05,  0.20,  70.7810,  
5.12,  0.24,  70.9220,  
8.59,  0.32,  71.0940,  
10.66,  0.37,  71.2340,  
13.43,  0.44,  71.3910,  
16.21,  0.51,  71.5310,  
15.44,  0.49,  71.6870,  
13.44,  0.44,  71.8280,  
10.71,  0.38,  72.0000,  
7.95,  0.31,  72.1410,  
5.06,  0.25,  72.3120,  
2.36,  0.19,  72.4530,  
0.32,  0.14,  72.6250,  
3.06,  0.20,  72.7660,  
5.83,  0.26,  72.9370,  
8.59,  0.32,  73.0780,  
10.67,  0.37,  73.2340,  
13.45,  0.44,  73.3750,  
16.24,  0.51,  73.5310,  
16.18,  0.51,  73.6720,  
12.83,  0.43,  73.8440,  
10.65,  0.38,  73.9840,  
7.98,  0.31,  74.1410,  
5.10,  0.25,  74.2810,  
2.40,  0.19,  74.4370,  
0.27,  0.14,  74.5780,  
2.42,  0.19,  74.7500,  
5.14,  0.25,  74.8910,  
7.90,  0.31,  75.0620,  
10.67,  0.37,  75.2190,  
13.45,  0.44,  75.3750,  
16.22,  0.51,  75.5160,  
15.39,  0.49,  75.6870,  
12.83,  0.43,  75.8280,  
10.70,  0.38,  75.9840,  
7.95,  0.31,  76.1250,  
5.16,  0.25,  76.2810,  
3.06,  0.19,  76.4220,  
0.31,  0.14,  76.5940,  
2.43,  0.19,  76.7340,  
5.13,  0.25,  76.8910,  
7.89,  0.31,  77.0310,  
10.66,  0.37,  77.1870,  
12.74,  0.42,  77.3280,  
15.52,  0.49,  77.4840,  
16.15,  0.50,  77.6250,  
13.48,  0.44,  77.7810,  
11.41,  0.39,  77.9220,  
8.65,  0.33,  78.0940,  
5.81,  0.26,  78.2340,  
3.08,  0.20,  78.3910,  
0.96,  0.16,  78.5310,  
1.76,  0.17,  78.6870,  
4.44,  0.23,  78.8280,  
7.20,  0.29,  78.9840,  
9.27,  0.34,  79.1250,  
12.04,  0.42,  79.2970,  
14.84,  0.47,  79.4370,  
16.92,  0.52,  79.6090,  
14.14,  0.46,  79.7500,  
11.43,  0.39,  79.9220,  
8.65,  0.33,  80.0620,  
5.81,  0.26,  80.2190,  
3.77,  0.22,  80.3590,  
0.95,  0.16,  80.5160,  
1.77,  0.17,  80.6560,  
4.45,  0.23,  80.8280,  
7.20,  0.29,  80.9690,  
9.26,  0.34,  81.1250,  
12.04,  0.41,  81.2660,  
14.87,  0.47,  81.4220,  
16.90,  0.52,  81.5620,  
14.14,  0.46,  81.7340,  
12.12,  0.41,  81.8750,  
9.34,  0.34,  82.0310,  
6.48,  0.28,  82.1720,  
3.79,  0.22,  82.3280,  
1.66,  0.17,  82.4690,  
1.06,  0.16,  82.6250,  
3.73,  0.21,  82.7660,  
6.49,  0.28,  82.9370,  
9.26,  0.34,  83.0780,  
11.37,  0.39,  83.2340,  
14.13,  0.46,  83.3750,  
16.88,  0.52,  83.5470,  
14.75,  0.47,  83.6870,  
12.11,  0.41,  83.8590,  
9.34,  0.35,  84.0000,  
7.25,  0.30,  84.1560,  
4.39,  0.23,  84.2970,  
1.69,  0.17,  84.4690,  
1.04,  0.16,  84.6090,  
3.70,  0.21,  84.7660,  
5.82,  0.26,  84.9060,  
8.62,  0.33,  85.0620,  
11.36,  0.39,  85.2030,  
14.12,  0.45,  85.3590,  
16.22,  0.50,  85.5000,  
15.41,  0.49,  85.6560,  
12.83,  0.43,  85.7970,  
10.03,  0.36,  85.9690,  
7.22,  0.30,  86.1090,  
5.16,  0.25,  86.2660,  
2.33,  0.19,  86.4060,  
0.31,  0.14,  86.5620,  
2.37,  0.20,  86.7030,  
5.13,  0.25,  86.8590,  
7.90,  0.31,  87.0000,  
10.67,  0.37,  87.1720,  
13.44,  0.44,  87.3120,  
16.20,  0.51,  87.4840,  
15.41,  0.49,  87.6250,  
12.82,  0.43,  87.7970,  
10.66,  0.38,  87.9370,  
7.96,  0.31,  88.0940,  
5.15,  0.25,  88.2340,  
2.35,  0.19,  88.3910,  
0.31,  0.14,  88.5310,  
3.02,  0.20,  88.7030,  
5.14,  0.25,  88.8440,  
7.89,  0.31,  89.0000,  
10.66,  0.37,  89.1410,  
12.73,  0.42,  89.2970,  
15.53,  0.49,  89.4370,  
16.15,  0.50,  89.6090,  
13.53,  0.44,  89.7500,  
10.71,  0.38,  89.9220,  
7.94,  0.31,  90.0620,  
5.10,  0.25,  90.2340,  
2.39,  0.19,  90.3750,  
0.26,  0.14,  90.5310,  
2.36,  0.19,  90.6720,  
5.11,  0.24,  90.8280,  
7.87,  0.31,  90.9690,  
10.65,  0.37,  91.1410,  
12.75,  0.42,  91.2810,  
15.54,  0.49,  91.4370,  
16.12,  0.50,  91.5780,  
13.54,  0.44,  91.7340,  
11.39,  0.39,  91.8750,  
8.65,  0.33,  92.0310,  
5.82,  0.26,  92.1720,  
3.01,  0.20,  92.3440,  
0.25,  0.14,  92.4840,  
1.79,  0.17,  92.6410,  
4.47,  0.23,  92.7810,  
7.16,  0.29,  92.9370,  
9.28,  0.34,  93.0780,  
12.06,  0.41,  93.2340,  
14.83,  0.47,  93.3750,  
16.93,  0.52,  93.5470,  
14.17,  0.46,  93.6870,  
11.39,  0.39,  93.8590,  
8.69,  0.33,  94.0000,  
5.79,  0.26,  94.1720,  
3.77,  0.22,  94.3120,  
0.32,  0.14,  94.4840,  
1.76,  0.17,  94.6250,  
4.44,  0.23,  94.7810,  
7.18,  0.29,  94.9220,  
9.95,  0.36,  95.0940,  
12.75,  0.42,  95.2340,  
14.83,  0.47,  95.3910,  
16.90,  0.52,  95.5310,  
14.22,  0.46,  95.7030,  
11.39,  0.39,  95.8440,  
8.66,  0.33,  96.0000,  
6.55,  0.28,  96.1410,  
3.72,  0.22,  96.2970,  
1.00,  0.16,  96.4370,  
1.78,  0.17,  96.6090,  
4.41,  0.23,  96.7500,  
7.18,  0.29,  96.9220,  
9.27,  0.34,  97.0620,  
12.78,  0.42,  97.2340,  
14.82,  0.47,  97.3750,  
16.90,  0.52,  97.5470,  
14.16,  0.46,  97.6870,  
11.36,  0.39,  97.8590,  
8.63,  0.33,  98.0000,  
5.86,  0.26,  98.1560,  
3.73,  0.22,  98.2970,  
0.29,  0.14,  98.4690,  
1.79,  0.17,  98.6090,  
4.45,  0.23,  98.7660,  
7.20,  0.29,  98.9060,  
9.96,  0.36,  99.0620,  
12.06,  0.41,  99.2030,  
14.87,  0.47,  99.3590,  
16.91,  0.52,  99.5000,  
14.19,  0.46,  99.6720,  
12.09,  0.41,  99.8120,  
8.66,  0.33,  99.9840,  
6.53,  0.28,  100.1250,  
3.75,  0.22,  100.2810,  
0.98,  0.16,  100.4220,  
1.78,  0.17,  100.5780,  
3.73,  0.22,  100.7190,  
6.46,  0.27,  100.8910,  
9.29,  0.34,  101.0310,  
12.06,  0.41,  101.1870,  
14.83,  0.47,  101.3280,  
16.90,  0.52,  101.5000,  
14.83,  0.47,  101.6410,  
11.42,  0.39,  101.8120,  
9.35,  0.35,  101.9530,  
6.55,  0.28,  102.1090,  
3.72,  0.22,  102.2500,  
1.68,  0.17,  102.4060,  
1.04,  0.16,  102.5470,  
3.70,  0.21,  102.7190,  
6.47,  0.27,  102.8590,  
9.27,  0.34,  103.0160,  
11.37,  0.39,  103.1560,  
14.14,  0.45,  103.3120,  
16.91,  0.52,  103.4530,  
14.80,  0.47,  103.6090,  
12.84,  0.43,  103.7500,  
10.02,  0.36,  103.9220,  
7.25,  0.30,  104.0620,  
4.42,  0.23,  104.2340,  
1.69,  0.17,  104.3750,  
1.11,  0.16,  104.5310,  
3.01,  0.20,  104.6720,  
5.79,  0.26,  104.8280,  
8.58,  0.32,  104.9690,  
11.37,  0.39,  105.1410,  
14.15,  0.46,  105.2810,  
16.89,  0.52,  105.4370,  
15.42,  0.49,  105.5780,  
12.80,  0.43,  105.7340,  
10.05,  0.36,  105.8750,  
7.92,  0.31,  106.0310,  
5.15,  0.25,  106.1720,  
2.36,  0.19,  106.3440,  
0.32,  0.14,  106.4840,  
3.01,  0.20,  106.6410,  
5.10,  0.24,  106.7810,  
7.86,  0.31,  106.9370,  
10.66,  0.37,  107.0780,  
13.43,  0.44,  107.2340,  
15.53,  0.49,  107.3750,  
16.12,  0.50,  107.5470,  
13.50,  0.44,  107.6870,  
10.71,  0.38,  107.8590,  
7.96,  0.31,  108.0000,  
5.11,  0.25,  108.1720,  
2.34,  0.19,  108.3120,  
0.30,  0.14,  108.4840,  
2.99,  0.20,  108.6250,  
5.13,  0.24,  108.7810,  
7.94,  0.31,  108.9220,  
10.67,  0.37,  109.0940,  
13.47,  0.44,  109.2340,  
16.23,  0.50,  109.3910,  
16.15,  0.50,  109.5310,  
13.50,  0.44,  109.6870,  
10.76,  0.38,  109.8280,  
7.95,  0.31,  109.9840,  
5.82,  0.26,  110.1250,  
3.10,  0.20,  110.2810,  
0.24,  0.14,  110.4220,  
2.34,  0.18,  110.5940,  
5.13,  0.24,  110.7340,  
7.20,  0.29,  110.8910,  
9.97,  0.36,  111.0310,  
12.75,  0.42,  111.1870,  
14.88,  0.47,  111.3280,  
16.14,  0.50,  111.5000,  
14.23,  0.46,  111.6410,  
11.38,  0.39,  111.8120,  
8.58,  0.33,  111.9530,  
5.89,  0.27,  112.1090,  
3.00,  0.20,  112.2500,  
0.97,  0.16,  112.4060,  
1.75,  0.17,  112.5470,  
4.43,  0.23,  112.7030,  
6.47,  0.28,  112.8440,  
9.25,  0.34,  113.0000,  
12.07,  0.41,  113.1410,  
14.85,  0.47,  113.3120,  
16.90,  0.52,  113.4530,  
14.21,  0.46,  113.6090,  
12.12,  0.41,  113.7500,  
9.33,  0.35,  113.9060,  
6.55,  0.28,  114.0470,  
3.73,  0.22,  114.2190,  
0.95,  0.16,  114.3590,  
1.04,  0.16,  114.5160,  
3.73,  0.22,  114.6560,  
6.48,  0.28,  114.8120,  
8.56,  0.32,  114.9530,  
11.36,  0.39,  115.1090,  
14.15,  0.46,  115.2500,  
16.91,  0.52,  115.4060,  
