WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.74	 0.47	 37.3590	 
17.74	 0.48	 37.5150	 
17.74	 0.47	 37.6560	 
17.74	 0.47	 37.8280	 
17.74	 0.47	 37.9680	 
17.74	 0.47	 38.1400	 
17.74	 0.48	 38.2810	 
17.74	 0.48	 38.4530	 
17.74	 0.48	 38.5930	 
17.74	 0.47	 38.7500	 
17.74	 0.47	 38.8900	 
17.74	 0.48	 39.0470	 
17.74	 0.47	 39.1870	 
17.74	 0.47	 39.3430	 
17.74	 0.47	 39.4840	 
17.74	 0.47	 39.6400	 
17.74	 0.47	 39.7810	 
17.74	 0.47	 39.9530	 
17.74	 0.47	 40.0930	 
17.74	 0.47	 40.2650	 
17.74	 0.47	 40.4060	 
17.74	 0.47	 40.5620	 
17.74	 0.48	 40.7030	 
17.74	 0.47	 40.8750	 
17.74	 0.47	 41.0150	 
17.74	 0.48	 41.1720	 
17.74	 0.47	 41.3120	 
17.74	 0.47	 41.4680	 
17.74	 0.47	 41.6090	 
17.74	 0.47	 41.7650	 
17.74	 0.47	 41.9060	 
17.74	 0.47	 42.0620	 
17.74	 0.48	 42.2030	 
17.74	 0.47	 42.3590	 
17.74	 0.48	 42.5000	 
17.74	 0.48	 42.6720	 
17.74	 0.48	 42.8120	 
17.74	 0.47	 42.9840	 
17.74	 0.47	 43.1250	 
17.74	 0.47	 43.2970	 
17.74	 0.47	 43.4370	 
17.74	 0.47	 43.5930	 
17.74	 0.47	 43.7340	 
17.74	 0.47	 43.8900	 
17.74	 0.48	 44.0310	 
17.74	 0.47	 44.2030	 
17.74	 0.48	 44.3430	 
17.74	 0.48	 44.5150	 
17.74	 0.47	 44.6560	 
17.74	 0.48	 44.8280	 
17.74	 0.47	 44.9680	 
17.74	 0.48	 45.1400	 
17.74	 0.48	 45.2810	 
17.74	 0.48	 45.4530	 
17.74	 0.47	 45.5930	 
17.74	 0.48	 45.7500	 
17.74	 0.47	 45.8900	 
17.74	 0.48	 46.0470	 
17.74	 0.47	 46.1870	 
17.74	 0.47	 46.3430	 
17.74	 0.47	 46.4840	 
17.74	 0.48	 46.6400	 
17.74	 0.48	 46.7810	 
17.74	 0.47	 46.9370	 
17.74	 0.47	 47.0780	 
17.74	 0.47	 47.2500	 
17.74	 0.48	 47.3900	 
17.74	 0.47	 47.5470	 
17.74	 0.47	 47.6870	 
17.74	 0.47	 47.8430	 
17.74	 0.47	 47.9840	 
17.74	 0.47	 48.1400	 
17.74	 0.48	 48.2810	 
17.74	 0.47	 48.4530	 
17.74	 0.47	 48.5930	 
17.74	 0.47	 48.7650	 
17.74	 0.48	 48.9060	 
17.74	 0.47	 49.0780	 
17.74	 0.47	 49.2180	 
17.74	 0.48	 49.3900	 
17.74	 0.47	 49.5310	 
17.74	 0.47	 49.6870	 
17.74	 0.47	 49.8280	 
17.74	 0.48	 49.9840	 
17.74	 0.47	 50.1250	 
17.74	 0.47	 50.2970	 
17.74	 0.47	 50.4370	 
17.74	 0.47	 50.5930	 
17.74	 0.48	 50.7340	 
17.74	 0.47	 50.8900	 
17.74	 0.47	 51.0310	 
17.74	 0.47	 51.1870	 
17.74	 0.48	 51.3280	 
17.74	 0.47	 51.5000	 
17.74	 0.47	 51.6400	 
17.74	 0.47	 51.7970	 
17.74	 0.47	 51.9370	 
17.74	 0.48	 52.0930	 
17.74	 0.48	 52.2340	 
17.74	 0.47	 52.3900	 
17.74	 0.48	 52.5310	 
17.74	 0.47	 52.6870	 
17.74	 0.47	 52.8280	 
17.74	 0.47	 53.0000	 
17.74	 0.47	 53.1400	 
17.74	 0.48	 53.2970	 
17.74	 0.48	 53.4369	 
17.74	 0.47	 53.6090	 
17.74	 0.47	 53.7499	 
17.74	 0.48	 53.9220	 
17.74	 0.48	 54.0619	 
17.74	 0.48	 54.2340	 
17.74	 0.47	 54.3900	 
17.74	 0.47	 54.5470	 
17.74	 0.47	 54.6869	 
17.74	 0.47	 54.8280	 
17.74	 0.47	 54.9679	 
17.74	 0.47	 55.1400	 
17.74	 0.48	 55.2809	 
17.74	 0.47	 55.4530	 
17.74	 0.48	 55.5929	 
17.74	 0.47	 55.7650	 
17.74	 0.48	 55.9059	 
17.74	 0.48	 56.0780	 
17.74	 0.47	 56.2179	 
17.74	 0.47	 56.3900	 
17.74	 0.47	 56.5619	 
17.74	 0.47	 56.7179	 
17.74	 0.47	 56.8590	 
17.74	 0.47	 56.9999	 
17.74	 0.48	 57.1400	 
17.74	 0.47	 57.2809	 
17.74	 0.48	 57.4220	 
17.74	 0.47	 57.5929	 
17.74	 0.47	 57.7340	 
17.74	 0.47	 57.8900	 
17.73	 0.47	 58.0309	 
17.73	 0.47	 58.1869	 
17.73	 0.47	 58.3280	 
17.73	 0.48	 58.4999	 
17.73	 0.47	 58.6400	 
17.73	 0.47	 58.7970	 
17.73	 0.47	 58.9369	 
17.73	 0.47	 59.0929	 
17.73	 0.47	 59.2340	 
17.73	 0.48	 59.3900	 
17.73	 0.47	 59.5309	 
17.73	 0.47	 59.7030	 
17.73	 0.47	 59.8429	 
17.73	 0.47	 60.0150	 
