 ,Area,StdDev,Min,Max,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,11.599,0,255,255,5.122,2.883,153.835,0.550,100,1.776,0.563,0.874
2,2.916,0,255,255,3.935,0.943,178.235,0.412,100,4.171,0.240,0.890
3,7.553,0,255,255,4.849,1.984,14.368,0.492,100,2.444,0.409,0.777
4,155.795,0,255,255,16.476,12.039,63.299,0.161,100,1.369,0.731,0.449
5,59.520,0,255,255,16.982,4.463,176.110,0.268,100,3.805,0.263,0.675
6,0.473,0,255,255,1.814,0.332,3.742,0.394,100,5.466,0.183,0.878
7,7.855,0,255,255,3.490,2.866,83.417,0.732,100,1.218,0.821,0.942
8,11.626,0,255,255,5.690,2.601,6.630,0.098,100,2.188,0.457,0.407
9,0.013,0,255,255,0.129,0.129,0.000,1.000,100,1.000,1.000,1.000
10,60.229,0,255,255,17.090,4.487,150.405,0.281,100,3.808,0.263,0.799
11,13.438,0,255,255,5.785,2.957,52.020,0.614,100,1.956,0.511,0.877
12,6.988,0,255,255,8.070,1.103,161.651,0.191,100,7.318,0.137,0.554
13,41.747,0,255,255,9.297,5.717,93.708,0.713,100,1.626,0.615,0.938
14,108.229,0,255,255,18.325,7.520,95.906,0.115,100,2.437,0.410,0.389
15,42.417,0,255,255,9.245,5.842,95.163,0.716,100,1.583,0.632,0.922
16,27.547,0,255,255,6.930,5.061,29.644,0.267,100,1.369,0.730,0.746
