WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
18.68,  0.48,  37.7660,  
16.58,  0.44,  37.9070,  
13.48,  0.37,  38.0630,  
11.24,  0.33,  38.2040,  
8.09,  0.26,  38.3600,  
5.08,  0.19,  38.5000,  
1.93,  0.13,  38.6720,  
1.21,  0.12,  38.8130,  
4.17,  0.17,  38.9850,  
7.22,  0.23,  39.1250,  
10.24,  0.30,  39.2970,  
12.60,  0.35,  39.4380,  
15.62,  0.42,  39.5940,  
18.70,  0.48,  39.7350,  
16.55,  0.44,  39.8910,  
14.28,  0.39,  40.0320,  
10.43,  0.31,  40.2040,  
8.14,  0.26,  40.3440,  
5.02,  0.20,  40.5000,  
1.95,  0.13,  40.6410,  
0.33,  0.10,  40.7970,  
3.34,  0.16,  40.9380,  
6.45,  0.22,  41.0940,  
9.46,  0.28,  41.2350,  
12.63,  0.35,  41.4070,  
14.86,  0.40,  41.5470,  
17.93,  0.47,  41.7040,  
17.27,  0.45,  41.8440,  
14.28,  0.39,  42.0000,  
11.99,  0.34,  42.1410,  
8.86,  0.27,  42.2970,  
5.81,  0.21,  42.4380,  
2.71,  0.15,  42.5940,  
0.43,  0.10,  42.7350,  
2.59,  0.14,  42.9070,  
5.67,  0.20,  43.0470,  
8.74,  0.27,  43.2040,  
11.00,  0.32,  43.3440,  
14.17,  0.39,  43.5000,  
17.24,  0.45,  43.6410,  
18.05,  0.47,  43.7970,  
15.81,  0.42,  43.9380,  
11.94,  0.34,  44.1100,  
9.68,  0.29,  44.2500,  
6.56,  0.23,  44.4220,  
3.46,  0.16,  44.5630,  
0.44,  0.10,  44.7350,  
3.35,  0.16,  44.9070,  
6.41,  0.22,  45.0630,  
8.77,  0.27,  45.2040,  
11.85,  0.34,  45.3440,  
14.13,  0.38,  45.4850,  
17.13,  0.45,  45.6250,  
18.89,  0.49,  45.7660,  
15.83,  0.42,  45.9220,  
12.76,  0.36,  46.0630,  
10.41,  0.29,  46.2190,  
7.35,  0.24,  46.3600,  
4.25,  0.18,  46.5160,  
1.17,  0.12,  46.6570,  
2.59,  0.14,  46.8600,  
5.64,  0.20,  47.0320,  
8.74,  0.27,  47.1720,  
10.99,  0.32,  47.3130,  
14.11,  0.38,  47.4540,  
16.40,  0.43,  47.5940,  
18.88,  0.49,  47.7350,  
16.60,  0.44,  47.8750,  
13.49,  0.37,  48.0160,  
11.19,  0.33,  48.1720,  
8.07,  0.26,  48.3130,  
5.03,  0.19,  48.4850,  
1.91,  0.13,  48.6250,  
1.15,  0.12,  48.7820,  
4.15,  0.17,  48.9380,  
7.16,  0.24,  49.1100,  
10.26,  0.30,  49.2660,  
13.36,  0.37,  49.4070,  
15.63,  0.42,  49.5470,  
18.77,  0.49,  49.7040,  
16.60,  0.44,  49.8440,  
13.52,  0.37,  50.0160,  
11.20,  0.32,  50.1570,  
7.34,  0.24,  50.3290,  
4.98,  0.19,  50.4690,  
1.90,  0.13,  50.6250,  
1.19,  0.12,  50.7660,  
4.12,  0.17,  50.9220,  
6.40,  0.22,  51.0630,  
9.48,  0.28,  51.2350,  
12.58,  0.35,  51.3750,  
15.61,  0.42,  51.5470,  
18.78,  0.49,  51.6880,  
16.58,  0.44,  51.8440,  
14.26,  0.39,  51.9850,  
11.20,  0.32,  52.1410,  
8.15,  0.26,  52.2820,  
4.98,  0.19,  52.4380,  
2.69,  0.15,  52.5790,  
0.33,  0.10,  52.7350,  
3.35,  0.16,  52.8750,  
6.43,  0.22,  53.0470,  
9.51,  0.28,  53.1880,  
11.79,  0.33,  53.3440,  
14.86,  0.40,  53.4850,  
17.95,  0.47,  53.6570,  
17.27,  0.46,  53.7970,  
14.26,  0.39,  53.9540,  
11.96,  0.34,  54.0940,  
8.89,  0.28,  54.2500,  
5.76,  0.21,  54.3910,  
3.47,  0.15,  54.5470,  
0.39,  0.10,  54.6880,  
2.59,  0.15,  54.8440,  
5.64,  0.20,  54.9850,  
8.74,  0.27,  55.1570,  
11.03,  0.32,  55.2970,  
14.09,  0.38,  55.4540,  
17.26,  0.45,  55.5940,  
17.28,  0.46,  55.8130,  
14.25,  0.39,  55.9540,  
11.96,  0.34,  56.0940,  
8.89,  0.28,  56.2350,  
6.54,  0.21,  56.3750,  
3.48,  0.16,  56.5160,  
0.39,  0.10,  56.6720,  
1.90,  0.13,  56.8130,  
5.61,  0.20,  56.9850,  
7.95,  0.25,  57.1250,  
