No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
149	34.8937	163.0571	 	 	224.7900	 	2.56920
150	34.9267	156.0586	 	 	224.7900	 	2.56684
151	34.9597	206.6528	 	 	224.7900	 	2.56450
152	34.9927	249.8374	 	 	224.7900	 	2.56215
153	35.0257	281.9812	 	 	224.7900	 	2.55982
154	35.0587	336.6498	 	 	224.7900	 	2.55748
155	35.0917	451.0268	 	 	224.7900	 	2.55515
156	35.1247	569.4411	 	 	224.7900	 	2.55283
157	35.1577	821.6265	 	 	224.7900	 	2.55051
158	35.1907	1024.6100	 	 	224.7900	 	2.54819
159	35.2237	1319.5420	 	 	224.7900	 	2.54588
160	35.2567	1560.4580	 	 	224.7900	 	2.54357
161	35.2897	1921.5390	 	 	224.7900	 	2.54127
162	35.3227	2119.1750	 	 	224.7900	 	2.53897
163	35.3557	2153.4880	 	 	224.7900	 	2.53668
164	35.3887	2095.0110	 	 	224.7900	 	2.53439
165	35.4217	1887.9550	 	 	224.7900	 	2.53210
166	35.4547	1685.6470	 	 	224.7900	 	2.52982
167	35.4877	1249.6870	 	 	224.7900	 	2.52754
168	35.5207	884.1189	 	 	224.7900	 	2.52527
169	35.5537	605.6655	 	 	224.7900	 	2.52300
170	35.5867	396.7482	 	 	224.7900	 	2.52074
171	35.6197	286.4542	 	 	224.7900	 	2.51848
172	35.6527	188.1966	 	 	224.7900	 	2.51622
173	35.6857	158.7826	 	 	224.7900	 	2.51397
174	35.7187	156.0092	 	 	224.7900	 	2.51172
175	35.7517	152.7905	 	 	224.7900	 	2.50948
176	35.7847	158.3101	 	 	224.7900	 	2.50724
177	35.8177	145.2674	 	 	224.7900	 	2.50501
178	35.8507	155.4930	 	 	224.7900	 	2.50278
179	35.8837	150.2457	 	 	224.7900	 	2.50055
180	35.9167	145.5345	 	 	224.7900	 	2.49833
181	35.9497	153.6845	 	 	224.7900	 	2.49611
182	35.9827	149.8914	 	 	224.7900	 	2.49390
183	36.0157	140.7001	 	 	224.7900	 	2.49169
184	36.0487	152.4249	 	 	224.7900	 	2.48948
185	36.0817	146.1888	 	 	224.7900	 	2.48728
186	36.1147	152.5717	 	 	224.7900	 	2.48508
187	36.1477	157.6942	 	 	224.7900	 	2.48289
188	36.1807	159.5347	 	 	224.7900	 	2.48070
189	36.2137	165.3723	 	 	224.7900	 	2.47852
190	36.2467	169.2119	 	 	224.7900	 	2.47634
191	36.2797	165.2263	 	 	224.7900	 	2.47416
192	36.3127	161.4058	 	 	224.7900	 	2.47199
193	36.3457	155.8553	 	 	224.7900	 	2.46982
194	36.3787	159.8316	 	 	224.7900	 	2.46765
195	36.4117	156.1564	 	 	224.7900	 	2.46549
196	36.4447	146.3877	 	 	224.7900	 	2.46334
197	36.4777	153.3627	 	 	224.7900	 	2.46118
198	36.5107	149.7836	 	 	224.7900	 	2.45903
199	36.5437	143.4799	 	 	224.7900	 	2.45689
200	36.5767	138.3088	 	 	224.7900	 	2.45475
201	36.6097	131.7801	 	 	224.7900	 	2.45261
202	36.6427	144.2522	 	 	224.7900	 	2.45048
203	36.6757	157.5794	 	 	224.7900	 	2.44835
204	36.7087	151.1513	 	 	224.7900	 	2.44622
205	36.7417	145.0073	 	 	224.7900	 	2.44410
206	36.7747	158.4413	 	 	224.7900	 	2.44199
207	36.8077	157.6566	 	 	224.7900	 	2.43987
208	36.8407	144.4802	 	 	224.7900	 	2.43776
209	36.8737	132.1557	 	 	224.7900	 	2.43566
210	36.9067	140.0832	 	 	224.7900	 	2.43355
211	36.9397	152.0706	 	 	224.7900	 	2.43146
212	36.9727	139.3197	 	 	224.7900	 	2.42936
213	37.0057	143.0488	 	 	224.7900	 	2.42727
214	37.0387	139.4563	 	 	224.7900	 	2.42518
215	37.0717	132.4728	 	 	224.7900	 	2.42310
216	37.1047	127.6580	 	 	224.7900	 	2.42102
