No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
238,37.8307,178.9418, , ,224.7900, ,2.37621
239,37.8637,161.1693, , ,224.7900, ,2.37422
240,37.8967,195.2380, , ,224.7900, ,2.37223
241,37.9297,236.5794, , ,224.7900, ,2.37024
242,37.9627,231.3145, , ,224.7900, ,2.36825
243,37.9957,249.8260, , ,224.7900, ,2.36627
244,38.0287,248.2024, , ,224.7900, ,2.36429
245,38.0617,276.3902, , ,224.7900, ,2.36232
246,38.0947,292.5243, , ,224.7900, ,2.36035
247,38.1277,273.5151, , ,224.7900, ,2.35838
248,38.1607,332.4313, , ,224.7900, ,2.35642
249,38.1937,367.7858, , ,224.7900, ,2.35446
250,38.2267,386.5073, , ,224.7900, ,2.35250
251,38.2597,449.4142, , ,224.7900, ,2.35055
252,38.2927,495.7528, , ,224.7900, ,2.34860
253,38.3257,523.3249, , ,224.7900, ,2.34665
254,38.3587,596.1603, , ,224.7900, ,2.34471
255,38.3917,646.0968, , ,224.7900, ,2.34277
256,38.4247,688.4170, , ,224.7900, ,2.34083
257,38.4577,760.5720, , ,224.7900, ,2.33890
258,38.4907,783.0499, , ,224.7900, ,2.33697
259,38.5237,751.4734, , ,224.7900, ,2.33505
260,38.5567,793.7439, , ,224.7900, ,2.33312
261,38.5897,749.7870, , ,224.7900, ,2.33120
262,38.6227,712.8364, , ,224.7900, ,2.32929
263,38.6557,703.8348, , ,224.7900, ,2.32738
264,38.6887,679.0875, , ,224.7900, ,2.32547
265,38.7217,644.7785, , ,224.7900, ,2.32356
266,38.7547,628.4885, , ,224.7900, ,2.32166
267,38.7877,571.8088, , ,224.7900, ,2.31976
268,38.8207,552.2740, , ,224.7900, ,2.31786
269,38.8537,549.7914, , ,224.7900, ,2.31597
270,38.8867,536.8408, , ,224.7900, ,2.31408
271,38.9197,537.8365, , ,224.7900, ,2.31219
272,38.9527,546.6240, , ,224.7900, ,2.31031
273,38.9857,562.8795, , ,224.7900, ,2.30843
274,39.0187,568.0311, , ,224.7900, ,2.30656
275,39.0517,550.6329, , ,224.7900, ,2.30468
276,39.0847,568.2762, , ,224.7900, ,2.30281
277,39.1177,610.8680, , ,224.7900, ,2.30095
278,39.1507,607.5381, , ,224.7900, ,2.29908
279,39.1837,591.9475, , ,224.7900, ,2.29722
280,39.2167,605.8407, , ,224.7900, ,2.29536
