No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
417,43.7377,79.4129, , ,224.7900, ,2.06801
418,43.7707,70.3448, , ,224.7900, ,2.06653
419,43.8037,71.0047, , ,224.7900, ,2.06505
420,43.8367,76.5187, , ,224.7900, ,2.06357
421,43.8697,77.9957, , ,224.7900, ,2.06209
422,43.9027,81.3926, , ,224.7900, ,2.06062
423,43.9357,82.3305, , ,224.7900, ,2.05915
424,43.9687,70.9153, , ,224.7900, ,2.05768
425,44.0017,58.6001, , ,224.7900, ,2.05621
426,44.0347,56.2573, , ,224.7900, ,2.05475
427,44.0677,62.5260, , ,224.7900, ,2.05329
428,44.1007,76.8357, , ,224.7900, ,2.05183
429,44.1337,69.8578, , ,224.7900, ,2.05037
430,44.1667,62.3095, , ,224.7900, ,2.04891
431,44.1997,67.9430, , ,224.7900, ,2.04746
432,44.2327,81.4771, , ,224.7900, ,2.04601
433,44.2657,73.8399, , ,224.7900, ,2.04456
434,44.2987,63.1591, , ,224.7900, ,2.04311
435,44.3317,66.5096, , ,224.7900, ,2.04167
436,44.3647,74.5136, , ,224.7900, ,2.04023
437,44.3977,78.0919, , ,224.7900, ,2.03879
438,44.4307,71.6276, , ,224.7900, ,2.03735
439,44.4637,64.8322, , ,224.7900, ,2.03591
440,44.4967,70.3554, , ,224.7900, ,2.03448
441,44.5297,75.5599, , ,224.7900, ,2.03305
442,44.5627,63.8799, , ,224.7900, ,2.03162
443,44.5957,58.5240, , ,224.7900, ,2.03019
444,44.6287,65.3908, , ,224.7900, ,2.02877
445,44.6617,73.2591, , ,224.7900, ,2.02735
446,44.6947,68.8626, , ,224.7900, ,2.02593
447,44.7277,74.7646, , ,224.7900, ,2.02451
448,44.7607,66.8804, , ,224.7900, ,2.02309
449,44.7937,70.9606, , ,224.7900, ,2.02168
450,44.8267,59.0553, , ,224.7900, ,2.02027
451,44.8597,55.9362, , ,224.7900, ,2.01886
452,44.8927,58.8917, , ,224.7900, ,2.01745
453,44.9257,67.0033, , ,224.7900, ,2.01604
454,44.9587,75.4434, , ,224.7900, ,2.01464
455,44.9917,56.9617, , ,224.7900, ,2.01324
456,45.0247,54.7402, , ,224.7900, ,2.01184
457,45.0577,63.3521, , ,224.7900, ,2.01044
458,45.0907,80.4363, , ,224.7900, ,2.00905
459,45.1237,65.6956, , ,224.7900, ,2.00766
460,45.1567,58.7713, , ,224.7900, ,2.00627
461,45.1897,64.8964, , ,224.7900, ,2.00488
462,45.2227,61.1999, , ,224.7900, ,2.00349
463,45.2557,65.7296, , ,224.7900, ,2.00211
464,45.2887,58.5569, , ,224.7900, ,2.00073
465,45.3217,58.4156, , ,224.7900, ,1.99935
466,45.3547,71.9335, , ,224.7900, ,1.99797
467,45.3877,58.5257, , ,224.7900, ,1.99659
468,45.4207,70.8040, , ,224.7900, ,1.99522
469,45.4537,68.9206, , ,224.7900, ,1.99385
470,45.4867,67.7132, , ,224.7900, ,1.99248
471,45.5197,63.8874, , ,224.7900, ,1.99111
472,45.5527,62.1330, , ,224.7900, ,1.98974
473,45.5857,65.3657, , ,224.7900, ,1.98838
474,45.6187,75.4909, , ,224.7900, ,1.98702
475,45.6517,51.0647, , ,224.7900, ,1.98566
476,45.6847,59.9509, , ,224.7900, ,1.98430
477,45.7177,60.9858, , ,224.7900, ,1.98294
478,45.7507,68.7533, , ,224.7900, ,1.98159
479,45.7837,69.0041, , ,224.7900, ,1.98024
480,45.8167,59.5532, , ,224.7900, ,1.97889
481,45.8497,68.3206, , ,224.7900, ,1.97754
482,45.8827,72.6723, , ,224.7900, ,1.97620
483,45.9157,69.3786, , ,224.7900, ,1.97485
484,45.9487,61.8463, , ,224.7900, ,1.97351
485,45.9817,68.0528, , ,224.7900, ,1.97217
486,46.0147,74.2069, , ,224.7900, ,1.97083
487,46.0477,63.0222, , ,224.7900, ,1.96950
488,46.0807,66.8989, , ,224.7900, ,1.96816
489,46.1137,64.6816, , ,224.7900, ,1.96683
490,46.1467,60.7249, , ,224.7900, ,1.96550
491,46.1797,71.2779, , ,224.7900, ,1.96418
492,46.2127,76.3738, , ,224.7900, ,1.96285
493,46.2457,61.4039, , ,224.7900, ,1.96153
494,46.2787,67.7395, , ,224.7900, ,1.96020
495,46.3117,67.9852, , ,224.7900, ,1.95888
496,46.3447,58.0917, , ,224.7900, ,1.95757
497,46.3777,61.5685, , ,224.7900, ,1.95625
498,46.4107,61.1294, , ,224.7900, ,1.95494
499,46.4437,64.9329, , ,224.7900, ,1.95362
500,46.4767,76.6772, , ,224.7900, ,1.95231
501,46.5097,54.5274, , ,224.7900, ,1.95100
502,46.5427,53.9895, , ,224.7900, ,1.94970
503,46.5757,67.1935, , ,224.7900, ,1.94839
504,46.6087,64.5868, , ,224.7900, ,1.94709
505,46.6417,52.8296, , ,224.7900, ,1.94579
506,46.6747,49.8498, , ,224.7900, ,1.94449
